"header","class","mechanism","group","F2O7_S29_L004","F2R23_S11_L004","F1O10_S21_L004","F2R33_S16_L004","F1O8_S19_L004","F2O15_S33_L004","F1O9_S20_L004","F2R24_S12_L004","F1R11_S9_L004","F1O11_S22_L004","F2R26_S13_L004","F2R35_S17_L004","F2O1_S26_L004","F204_S27_L004","F1R5_S6_L004","F2O9_S30_L004","F2R22_S10_L004","F1O12_S23_L004","F2O14_S32_L004","F1R3_S4_L004","F1R9_S8_L004","F1O13_S24_L004","F1O14_S25_L004","F1R1_S3_L004","F2O12_S31_L004","F2R30_S15_L004","F2R28_S14_L004","F1O3_S18_L004","F1R7_S7_L004","F2O5_S28_L004","F1R4_S5_L004"
"Bla|CMY-54|HM544039|1-1152|1152|betalactams|Class_C_betalactamases|CMY","betalactams","Class C betalactamases","CMY",745,0,0,64,0,160,0,394,41,0,64,104,503,0,0,0,365,353,280,169,0,0,0,493,0,0,36,0,0,0,0
"Bla|CMY-57|HQ285243|1-1146|1146|betalactams|Class_C_betalactamases|CMY","betalactams","Class C betalactamases","CMY",695,0,0,54,0,166,0,413,51,0,58,110,506,0,0,0,366,302,284,152,0,0,0,441,0,0,14,0,0,0,0
"Bla|CMY-60_1_HQ267531|betalactams|Class_C_betalactamases|CMY","betalactams","Class C betalactamases","CMY",714,0,0,51,0,156,0,398,47,0,55,122,437,0,0,0,396,345,324,168,0,0,0,483,0,0,25,0,0,0,0
"Bla|CMY-60|JF460794|1-1146|1146|betalactams|Class_C_betalactamases|CMY","betalactams","Class C betalactamases","CMY",961,0,0,75,0,273,0,602,77,0,113,171,703,0,0,0,524,524,445,262,0,0,0,656,0,0,52,0,0,0,0
"Bla|CMY-69|JX049132|1-1146|1146|betalactams|Class_C_betalactamases|CMY","betalactams","Class C betalactamases","CMY",865,0,0,65,0,256,0,505,77,0,96,182,613,0,0,0,496,425,385,222,0,0,0,628,0,0,33,0,0,0,0
"Bla|CMY-6|AJ011293|1-1146|1146|betalactams|Class_C_betalactamases|CMY","betalactams","Class C betalactamases","CMY",731,0,0,68,0,195,0,456,40,0,68,123,497,0,0,0,404,401,319,164,0,0,0,500,0,0,30,0,0,0,0
"Bla|CMY-7|AJ011291|1-1146|1146|betalactams|Class_C_betalactamases|CMY","betalactams","Class C betalactamases","CMY",843,0,0,78,0,180,0,496,87,0,89,173,591,0,0,0,452,438,362,256,0,0,0,537,0,0,48,0,0,0,0
"Bla|CMY-94|JX514368|272-1417|1146|betalactams|Class_C_betalactamases|CMY","betalactams","Class C betalactamases","CMY",900,0,0,75,0,223,0,517,71,0,93,137,628,0,0,0,477,395,359,191,0,0,0,595,0,0,62,0,0,0,0
"Bla|CMY-95|JX514369|297-1483|1146|betalactams|Class_C_betalactamases|CMY","betalactams","Class C betalactamases","CMY",562,0,0,0,0,141,0,295,26,0,0,72,346,0,0,0,275,229,194,119,0,0,0,373,0,0,24,0,0,0,0
"Bla|CMY-99_1_KF305673|betalactams|Class_C_betalactamases|CMY","betalactams","Class C betalactamases","CMY",373,0,0,0,0,81,0,171,23,0,0,35,249,0,0,0,173,140,135,75,0,0,0,219,0,0,11,0,0,0,0
"Bla|CP004022.1|gene834|betalactams|Mutant_porin_proteins|OMPD","betalactams","Mutant porin proteins","OMPD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0
"Bla|CTX-M-101|HQ398214|250-1125|876|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",0,0,0,0,0,0,0,48,0,0,0,59,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bla|CTX-M-103_1_HG423149|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bla|CTX-M-105|HQ833651|245-1120|876|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",142,0,0,398,0,0,0,0,0,0,74,374,109,0,0,0,0,0,0,0,0,0,0,0,118,392,0,0,0,0,0
"Bla|CTX-M-107|JF274244|1-864|864|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bla|CTX-M-109|JF274248|1-865|865|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bla|CTX-M-110|JF274242|1-877|877|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",303,61,0,850,0,290,0,63,0,0,223,784,268,25,0,0,65,0,80,0,0,0,0,0,259,751,220,0,0,0,0
"Bla|CTX-M-111|JF274243|1-876|876|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",290,70,0,847,0,268,0,68,0,0,244,856,268,28,0,0,73,0,97,0,0,0,0,0,259,712,206,0,0,0,0
"Bla|CTX-M-112|JF274246|1-876|876|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",287,54,0,832,0,251,0,56,0,0,218,819,267,0,0,0,57,0,96,0,0,0,0,0,259,749,203,0,0,0,0
"Bla|CTX-M-114|GQ351346|1-876|876|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",0,0,0,0,0,0,0,69,0,0,0,98,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bla|CTX-M-117|JN227085|1-876|876|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",0,0,0,20,0,0,0,51,0,0,0,68,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bla|CTX-M-11_1_AJ310929|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bla|CTX-M-121|JN790862|245-1120|876|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",172,44,0,588,0,136,0,32,0,0,94,529,162,0,0,0,34,0,51,0,0,0,0,0,164,500,109,0,0,0,0
"Bla|CTX-M-122|JN790863|233-1108|876|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",232,43,0,744,0,217,0,53,0,0,161,691,220,0,0,0,45,0,57,0,0,0,0,0,211,582,138,0,0,0,0
"Bla|CTX-M-129|JX017364|239-1114|876|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",0,0,0,740,0,232,0,0,0,0,212,712,241,0,0,0,0,0,0,0,0,0,0,0,0,595,194,0,0,0,0
"Bla|CTX-M-130|JX017365|245-1120|876|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",359,73,0,952,0,344,0,78,0,0,242,932,357,17,0,0,84,0,126,0,0,0,0,0,315,819,263,0,0,0,0
"Bla|CTX-M-13_2_AF252623|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",172,40,0,524,0,139,0,0,0,0,124,497,0,0,0,0,0,0,0,0,0,0,0,0,159,451,141,0,0,0,0
"Bla|CTX-M-147_1_KF513180|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",138,37,0,546,0,116,0,29,0,0,114,497,160,22,0,0,17,0,42,0,0,0,0,0,126,458,96,0,0,0,0
"Bla|CTX-M-14_4_EU274579|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",134,0,0,343,0,105,0,0,0,0,90,322,114,0,0,0,0,0,38,0,0,0,0,0,97,327,69,0,0,0,0
"Bla|CTX-M-14_5_AJ416341|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",436,95,0,1150,0,445,0,97,0,0,318,1150,429,31,0,0,98,0,168,0,0,0,0,0,409,947,339,0,0,0,0
"Bla|CTX-M-14|AF252622|1741-2616|876|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",483,68,0,1165,0,411,0,92,0,0,346,1129,418,41,0,0,121,0,160,0,0,0,0,0,445,926,366,0,0,0,0
"Bla|CTX-M-15_64_FJ815288|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",0,0,0,39,0,0,0,81,0,0,0,94,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bla|CTX-M-15_70_FJ815277|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",0,0,0,40,0,0,0,73,0,0,0,92,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bla|CTX-M-17_2_AF454633|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",424,70,0,1023,0,326,0,82,0,0,305,996,306,0,0,0,90,0,135,0,0,0,0,0,394,817,306,0,0,9,0
"Bla|CTX-M-19|AF325134|1-876|876|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",259,63,0,807,0,258,0,59,0,0,217,801,246,0,0,0,51,0,87,0,0,0,0,0,252,627,202,0,0,0,0
"Bla|CTX-M-1_4_AJ416342|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bla|CTX-M-1|X92506|63-938|866|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bla|CTX-M-21|AJ416346|557-1432|876|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",363,86,0,870,0,295,0,69,0,0,244,838,304,18,0,0,66,0,110,0,0,0,0,0,289,730,275,0,0,0,0
"Bla|CTX-M-22_3_EU376964|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",0,0,0,0,0,0,0,81,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bla|CTX-M-22|AY080894|4-879|876|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bla|CTX-M-24_1_EU921824|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",444,74,0,1065,0,339,0,82,0,0,347,1065,396,33,0,0,87,0,132,0,0,0,0,0,381,870,324,0,0,0,0
"Bla|CTX-M-24_8_EF374096|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",409,79,0,1097,0,358,0,79,0,0,329,1057,377,0,0,0,89,0,146,0,0,0,0,0,376,893,283,0,0,0,0
"Bla|CTX-M-27|AY156923|1-876|876|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",307,70,0,900,0,302,0,81,0,0,242,829,304,35,0,0,0,0,103,0,0,0,0,0,341,740,240,0,0,0,0
"Bla|CTX-M-28|AJ549244|1-876|876|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",0,0,0,57,0,0,0,86,0,0,0,98,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bla|CTX-M-32|AJ557142|1-876|876|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bla|CTX-M-33|AY238472|13-888|876|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",0,0,0,19,0,0,0,60,0,0,0,80,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bla|CTX-M-3|Y10278|1-876|876|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bla|CTX-M-42|DQ061159|347-1222|876|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bla|CTX-M-45|D89862|112-981|876|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",0,0,0,267,0,0,0,0,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bla|CTX-M-46|AY847147|82-957|876|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",331,55,0,868,0,285,0,65,0,0,230,832,318,22,0,0,78,0,111,0,0,0,0,0,335,720,289,0,0,0,0
"Bla|CTX-M-47|AY847143|83-958|876|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",350,87,0,918,0,341,0,91,0,0,252,868,313,29,0,0,85,0,116,0,0,0,0,0,316,746,290,0,0,0,0
"Bla|CTX-M-48|AY847144|82-957|876|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",414,77,0,984,0,334,0,61,0,0,316,950,319,19,0,0,67,0,140,0,0,0,0,0,327,795,324,0,0,0,0
"Bla|CTX-M-49AY847145|82-957|876|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",338,51,0,891,0,263,0,60,0,0,256,821,312,0,0,0,68,0,124,0,0,0,0,0,324,728,227,0,0,0,0
"Bla|CTX-M-50|AY847146|83-958|876|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",327,59,0,880,0,292,0,71,0,0,227,868,295,0,0,0,0,0,95,0,0,0,0,0,289,751,247,0,0,0,0
"Bla|CTX-M-52|GU125667|1-876|876|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bla|CTX-M-54|DQ303459|2175-3050|876|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bla|CTX-M-55|HM748991|321-1196|876|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bla|CTX-M-58_1_EF210159|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bla|CTX-M-58|HQ734707|1-876|876|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bla|CTX-M-61_1_EF219142|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bla|CTX-M-65_11_FJ907380|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",238,54,0,713,0,223,0,39,0,0,200,690,256,0,0,0,0,0,97,0,0,0,0,0,222,640,180,0,0,0,0
"Bla|CTX-M-65|EF418608|10-885|876|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",291,64,0,763,0,208,0,50,0,0,189,727,249,0,0,0,80,0,102,0,0,0,0,0,235,665,223,0,0,0,0
"Bla|CTX-M-66|EF576988|1-876|876|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bla|CTX-M-71|FJ815436|196-1071|876|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",0,0,0,30,0,0,0,0,0,0,0,87,0,0,0,0,81,0,0,0,0,0,0,0,0,25,0,0,0,0,0
"Bla|CTX-M-79_1_GU125666|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bla|CTX-M-79|GU125702|1-876|876|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",0,0,0,0,0,0,0,38,0,0,0,38,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bla|CTX-M-81|EU136031|1-876|876|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",162,44,0,634,0,165,0,0,0,0,141,554,191,22,0,0,0,0,73,0,0,0,0,0,173,542,134,0,0,0,0
"Bla|CTX-M-82_1_DQ256091|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",0,0,0,24,0,0,0,92,0,0,0,80,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bla|CTX-M-82|EU545409|81-956|876|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",128,25,0,562,0,168,0,0,0,0,104,496,127,0,0,0,0,0,68,0,0,0,0,0,160,455,124,0,0,0,0
"Bla|CTX-M-83|FJ214366|1-876|876|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",300,75,0,928,0,317,0,0,0,0,273,849,341,22,0,0,59,0,110,0,0,0,0,0,322,774,271,0,0,0,0
"Bla|CTX-M-85|FJ214368|1-876|876|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",308,67,0,870,0,252,0,69,0,0,251,819,261,24,0,0,67,0,101,0,0,0,0,0,258,716,223,0,0,0,0
"Bla|CTX-M-86|FJ214369|1-876|876|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",327,41,0,892,0,263,0,74,0,0,223,910,290,0,0,0,66,0,93,0,0,0,0,0,272,767,224,0,0,0,0
"Bla|CTX-M-88_1_FJ873739|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",0,0,0,30,0,0,0,80,0,0,0,105,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bla|CTX-M-89_1_FJ966096|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bla|CTX-M-90|FJ907381|1-876|876|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",284,65,0,874,0,282,0,68,0,0,235,840,289,0,0,0,74,0,120,0,0,0,0,0,277,761,267,0,0,0,0
"Bla|CTX-M-93|HQ166709|1-876|876|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",191,0,0,592,0,174,0,0,0,0,177,598,176,0,0,0,0,0,0,0,0,0,0,0,201,497,138,0,0,0,0
"Bla|CTX-M-93|HQ637575|1-876|876|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",202,34,0,585,0,141,0,0,0,0,137,538,194,0,0,0,58,0,0,0,0,0,0,0,145,543,160,0,0,0,0
"Bla|CTX-M-99|HM803271|1-876|876|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",239,41,0,669,0,214,0,39,0,0,150,643,200,0,0,0,42,0,91,0,0,0,0,0,226,552,173,0,0,0,0
"Bla|CTX-M-9_7AJ416345|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",110,0,0,343,0,98,0,0,0,0,75,327,118,0,0,0,0,0,0,0,0,0,0,0,101,266,0,0,0,0,0
"Bla|CTX-M-9|AF174129|1-876|876|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",104,0,0,342,0,88,0,0,0,0,67,323,81,0,0,0,0,0,40,0,0,0,0,0,98,281,0,0,0,0,0
"Bla|DQ157752.1|gene2|betalactams|Class_A_betalactamases|CARB","betalactams","Class A betalactamases","CARB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
"Bla|DQ463751.1|gene1|betalactams|Class_C_betalactamases|CMY","betalactams","Class C betalactamases","CMY",936,0,0,126,0,241,0,581,90,0,112,190,690,0,0,0,526,521,480,296,0,0,0,649,0,19,50,0,0,0,0
"Bla|DQ831141.1|gene2|betalactams|Class_A_betalactamases|CARB","betalactams","Class A betalactamases","CARB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0
"Bla|FJ919776.1|gene1|betalactams|Class_A_betalactamases|TEM","betalactams","Class A betalactamases","TEM",205,480,0,197,0,232,0,400,223,0,143,260,0,0,121,0,327,0,472,223,0,0,0,192,0,148,45,0,62,0,0
"Bla|FR717535.1|gene1|betalactams|Class_A_betalactamases|TEM","betalactams","Class A betalactamases","TEM",330,238,60,314,0,260,0,291,327,0,226,421,233,17,175,0,289,0,534,327,0,0,0,342,126,168,0,0,32,0,0
"Bla|GQ434004.1|gene2|betalactams|Class_A_betalactamases|CARB","betalactams","Class A betalactamases","CARB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0
"Bla|JX042489.1|gene1|betalactams|Class_A_betalactamases|TEM","betalactams","Class A betalactamases","TEM",0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0
"Bla|KC243783.1|gene1|betalactams|Penicillin_binding_protein|MECA","betalactams","Penicillin binding protein","MECA",0,0,0,0,51,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,32,0,0,0
"Bla|KC292503.1|gene5|betalactams|Class_A_betalactamases|TEM","betalactams","Class A betalactamases","TEM",656,199,111,572,0,227,28,451,604,0,411,766,463,0,396,0,449,113,347,564,0,0,0,609,282,313,184,0,0,0,0
"Bla|KF526115.1|gene1|betalactams|Class_C_betalactamases|CMY","betalactams","Class C betalactamases","CMY",457,0,0,0,0,100,0,248,34,0,0,0,314,0,0,0,257,193,163,125,0,0,0,289,0,0,0,0,0,0,0
"Bla|KJ020573.1|gene1|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",0,0,0,0,0,0,0,22,0,0,0,22,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bla|MECA|AB221124|91-2097|2007|betalactams|Penicillin_binding_protein|MECA","betalactams","Penicillin binding protein","MECA",0,0,43,0,55,0,85,0,0,0,0,0,0,0,0,0,0,32,0,0,0,37,87,0,0,0,0,52,0,0,0
"Bla|NC_002745.1122813|betalactams|Penicillin_binding_protein|MECA","betalactams","Penicillin binding protein","MECA",0,0,48,0,53,0,104,0,0,32,0,0,0,0,0,0,0,74,0,0,0,64,166,0,0,0,0,80,0,0,0
"Bla|NC_002745.1122814|betalactams|Penicillin_binding_protein_regulator|MECI","betalactams","Penicillin binding protein regulator","MECI",0,0,15,0,5,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,30,0,0,0,0,24,0,0,0
"Bla|NC_009487.5167689|betalactams|Penicillin_binding_protein|MECA","betalactams","Penicillin binding protein","MECA",0,0,57,0,68,0,98,0,0,53,0,0,0,0,0,0,0,66,0,0,0,57,171,0,0,0,0,142,0,0,0
"Bla|NC_010558.1.6276043|betalactams|Class_A_betalactamases|TEM","betalactams","Class A betalactamases","TEM",873,209,131,721,159,262,25,616,808,0,520,1029,575,24,497,0,630,177,450,766,0,23,0,816,373,395,251,10,0,21,0
"Bla|OXA-114_1_HM368376|betalactams|Class_D_betalactamases|OXA","betalactams","Class D betalactamases","OXA",18,0,97,0,60,30,168,0,0,87,0,0,26,0,0,0,0,74,0,0,0,72,109,0,0,0,0,73,0,0,0
"Bla|OXA-141|EF552405|13-840|828|betalactams|Class_D_betalactamases|OXA","betalactams","Class D betalactamases","OXA",0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
"Bla|OXA-144_1_FJ617207|betalactams|Class_D_betalactamases|OXA","betalactams","Class D betalactamases","OXA",0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bla|OXA-15|U63835|128-955|828|betalactams|Class_D_betalactamases|OXA","betalactams","Class D betalactamases","OXA",0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bla|OXA-161|GQ202693|1172-1999|828|betalactams|Class_D_betalactamases|OXA","betalactams","Class D betalactamases","OXA",0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bla|OXA-210|JF795487|1-828|828|betalactams|Class_D_betalactamases|OXA","betalactams","Class D betalactamases","OXA",0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bla|OXA-2_1_GQ466184|betalactams|Class_D_betalactamases|OXA","betalactams","Class D betalactamases","OXA",0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
"Bla|OXA-2_2_AY444814|betalactams|Class_D_betalactamases|OXA","betalactams","Class D betalactamases","OXA",0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
"Bla|OXA-347|JN086160|1583-2407|825|betalactams|Class_D_betalactamases|OXA","betalactams","Class D betalactamases","OXA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,28,0,0,0
"Bla|OXA-34|AF350424|1-771|771|betalactams|Class_D_betalactamases|OXA","betalactams","Class D betalactamases","OXA",0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bla|OXA-36|AF300985|1-739|739|betalactams|Class_D_betalactamases|OXA","betalactams","Class D betalactamases","OXA",0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bla|OXA-64|AY750907|1-825|825|betalactams|Class_D_betalactamases|OXA","betalactams","Class D betalactamases","OXA",0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bla|OXY2-2|AJ871867|1-873|873|betalactams|Class_A_betalactamases|OXY","betalactams","Class A betalactamases","OXY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bla|PBP|Ecoli|CP002291|664439-666340|1902|betalactams|Penicillin_binding_protein|PBP2","betalactams","Penicillin binding protein","PBP2",3644,3260,3239,3673,3339,3615,2430,3670,3682,660,3705,3692,3642,3403,3645,1758,3659,3662,3611,3657,1214,3515,1465,3682,3609,3654,3693,3159,1225,517,178
"Bla|PSE-4|AF313471|1422-2288|867|betalactams|Class_A_betalactamases|CARB","betalactams","Class A betalactamases","CARB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0
