F2O7_S29_L004,F2R23_S11_L004,F1O10_S21_L004,F2R33_S16_L004,F1O8_S19_L004,F2O15_S33_L004,F1O9_S20_L004,F2R24_S12_L004,F1R11_S9_L004,F1O11_S22_L004,F2R26_S13_L004,F2R35_S17_L004,F2O1_S26_L004,F204_S27_L004,F1R5_S6_L004,F2O9_S30_L004,F2R22_S10_L004,F1O12_S23_L004,F2O14_S32_L004,F1R3_S4_L004,F1R9_S8_L004,F1O13_S24_L004,F1O14_S25_L004,F1R1_S3_L004,F2O12_S31_L004,F2R30_S15_L004,F2R28_S14_L004,F1O3_S18_L004,F1R7_S7_L004,F2O5_S28_L004,F1R4_S5_L004
825|S52438.1|S52438|Tetracyclines|Tetracycline_transcriptional_repressor|TETR|RequiresSNPConfirmation,0,141.0,810.0,0,479.0,14.0,782.0,0,93.0,293.0,0,0,617.0,0,0,0,0,0,22.0,0,35.0,734.0,664.0,24.0,0,0,0,776.0,0,6.0,0
Bla|AF336096.1|gene1|betalactams|Mutant_porin_proteins|OMP36|RequiresSNPConfirmation,0,0,0,0,85.0,0,0,443.0,0,0,0,0,0,0,0,0,443.0,257.0,0,0,0,0,0,0,0,0,0,0,0,0,0
gi|757399519|gb|KP050492.1|betalactams|Class_A_betalactamases|TEM,429.0,104.0,76.0,391.0,83.0,126.0,0,286.0,435.0,0,243.0,596.0,313.0,0,270.0,8.0,299.0,66.0,285.0,396.0,0,0,0,442.0,150.0,208.0,129.0,8.0,0,18.0,0
AGly|AM087405.1|gene3|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,569.0,0,70.0,0,0,0,47.0,0,71.0,0,30.0,1010.0,0,0,0,0,5.0,0,0,0,204.0,0,1208.0,154.0,50.0,92.0,0,0,0
gi|66576191|gb|DQ054528.1|betalactams|Class_A_betalactamases|SHV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mdr|NC_002695.1.914983|Multi-drug_resistance|MDR_regulator|CPXAR,2105.0,1029.0,982.0,1795.0,1316.0,1508.0,634.0,2011.0,1917.0,142.0,1557.0,1849.0,2026.0,1074.0,1747.0,619.0,1989.0,1451.0,1678.0,1933.0,220.0,998.0,312.0,1886.0,1450.0,1759.0,1463.0,910.0,0,89.0,0
Bla|CTX-M-79_1_GU125666|betalactams|Class_A_betalactamases|CTX,0,0,0,0,0,0,0,0,0,0,0,91.0,0,0,0,0,94.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1531|unknown_id|unknown_name|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETA,2093.0,1884.0,2139.0,2256.0,2169.0,1993.0,1937.0,2251.0,2276.0,254.0,2157.0,2231.0,2160.0,1682.0,2231.0,831.0,2246.0,2203.0,2225.0,2211.0,872.0,2095.0,663.0,2238.0,1691.0,2296.0,2115.0,1478.0,798.0,973.0,633.0
CARD|phgb|AL009126|339155-339749|ARO:3003059|tmrB|Tunicamycin|ATP-binding_tunicamycin_resistance|TMRB,0,0,0,0,0,7.0,0,0,0,0,0,0,7.0,0,0,0,0,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0
gi|4557165|gb|AF104441.1|betalactams|Class_A_betalactamases|TEM,0,0,0,0,0,38.0,0,0,0,0,0,0,0,0,0,0,0,0,106.0,0,0,0,0,0,0,0,0,0,28.0,0,0
Phe|NC_010588.1.6276004|Phenicol|Chloramphenicol_acetyltransferases|CATA,0,0,756.0,0,240.0,268.0,0,0,0,58.0,22.0,0,395.0,1111.0,38.0,817.0,8.0,1031.0,550.0,0,0,20.0,53.0,990.0,676.0,505.0,17.0,72.0,637.0,117.0,4.0
1253|AF315351.1|AF315351|betalactams|Class_D_betalactamases|OXA,0,0,42.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,0,0,0
gi|1488048|gb|U63835.1|PAU63835|betalactams|Class_D_betalactamases|OXA,0,0,426.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.0,0,0,0
1737|AY033516.1|AY033516|betalactams|Class_A_betalactamases|CTX,1060.0,528.0,122.0,1042.0,661.0,966.0,857.0,1417.0,939.0,112.0,802.0,1113.0,1030.0,934.0,1134.0,45.0,1450.0,795.0,947.0,1105.0,0,1094.0,121.0,753.0,1034.0,1251.0,696.0,348.0,457.0,65.0,0
gi|21541782|gb|AF516719.1|betalactams|Class_A_betalactamases|TEM,1219.0,324.0,232.0,1087.0,230.0,434.0,41.0,963.0,1148.0,0,864.0,1471.0,916.0,55.0,765.0,0,918.0,268.0,651.0,1059.0,0,26.0,0,1175.0,607.0,569.0,458.0,37.0,20.0,31.0,0
Bla|BIL-1|X74512|127-1272|1146|betalactams|Class_C_betalactamases|CMY,0,0,0,0,0,0,0,110.0,0,0,0,0,161.0,0,0,0,109.0,0,88.0,0,0,0,0,0,0,0,0,0,0,0,0
Sul|CP000768.1|gene1044|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,0,44.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gi|166157193|emb|AM183304.1|betalactams|Class_A_betalactamases|TEM,403.0,364.0,78.0,353.0,0,377.0,0,470.0,369.0,0,298.0,502.0,276.0,0,239.0,0,379.0,0,676.0,399.0,0,0,0,393.0,0,210.0,0,0,68.0,0,0
AGly|U01945.1|gene1|Aminoglycosides|Aminoglycoside_N-acetyltransferases|SAT,326.0,946.0,951.0,777.0,904.0,960.0,946.0,478.0,937.0,915.0,903.0,734.0,829.0,790.0,808.0,592.0,474.0,795.0,968.0,910.0,572.0,773.0,973.0,758.0,909.0,548.0,880.0,947.0,230.0,441.0,745.0
1295|AF091113.2|AF091113|betalactams|Class_A_betalactamases|TEM,0,0,0,0,0,0,0,24.0,0,0,0,66.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARD|phgb|NC_007779|4336858-4337950|ARO:3003583|PmrB|Cationic_antimicrobial_peptides|Polymyxin_B_resistance_regulator|PMRB,35.0,13.0,0,31.0,0,0,0,52.0,0,0,108.0,110.0,8.0,0,389.0,0,79.0,22.0,20.0,105.0,16.0,0,0,101.0,33.0,15.0,38.0,0,0,0,0
AGly|AadA8b|AM040708|1174-1965|792|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,52.0,781.0,667.0,758.0,93.0,651.0,879.0,1006.0,45.0,400.0,837.0,77.0,648.0,848.0,0,853.0,711.0,146.0,882.0,0,851.0,156.0,882.0,769.0,875.0,319.0,210.0,141.0,0,268.0
CARD|phgb|AB037671|24420-26427|ARO:3001209|mecC|betalactams|Penicillin_binding_protein|MECC,0,0,0,0,0,0,68.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.0,0,0,0,0,64.0,0,0,0
Sul|sul2_3_HQ840942|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,1255.0,809.0,1060.0,871.0,1152.0,216.0,623.0,1352.0,1320.0,207.0,532.0,799.0,1200.0,550.0,820.0,189.0,1301.0,697.0,560.0,868.0,0,652.0,710.0,1101.0,858.0,1255.0,588.0,702.0,1087.0,110.0,1016.0
CARD|phgb|KP143090|1199-1619|ARO:3003209|FosA5|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,0,0,0,0,0,0,0,24.0,0,0,0,0,0,0,0,0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gi|2959389|emb|Y16785.1|betalactams|Class_C_betalactamases|CMY,426.0,0,0,0,0,102.0,0,278.0,0,0,33.0,0,302.0,0,0,0,232.0,174.0,184.0,108.0,0,0,0,282.0,0,0,0,0,0,0,0
AGly|AadA17|FJ460181|774-1565|792|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,63.0,499.0,493.0,568.0,62.0,434.0,608.0,667.0,29.0,270.0,600.0,120.0,370.0,600.0,0,561.0,637.0,121.0,602.0,0,510.0,164.0,768.0,468.0,556.0,192.0,172.0,645.0,0,500.0
Bla|ROB-1_1_DQ840517|betalactams|Class_A_betalactamases|ROB,0,0,1371.0,0,982.0,0,0,24.0,0,0,0,0,0,1125.0,0,577.0,27.0,0,0,0,0,658.0,19.0,0,0,0,0,56.0,45.0,0,0
MLS|MefA|U70055|314-1531|1218|MLS|Macrolide_resistance_efflux_pumps|MEFA,1125.0,1133.0,1688.0,87.0,1558.0,656.0,1552.0,1580.0,1314.0,1410.0,1438.0,86.0,934.0,1556.0,1452.0,222.0,1637.0,97.0,1275.0,825.0,316.0,1205.0,1664.0,108.0,0,623.0,1314.0,1599.0,127.0,0,290.0
CARD|phgb|EF210159|0-876|ARO:3001919|CTX-M-58|betalactams|Class_A_betalactamases|CTX,0,0,0,0,0,0,0,62.0,0,0,0,0,0,0,0,0,104.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLS|msrA_2_AB013298|MLS|Macrolide_resistance_efflux_pumps|MSRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628.0
Bla|CMY-22|DQ256079|1-1146|1146|betalactams|Class_C_betalactamases|CMY,1073.0,0,0,101.0,0,290.0,0,658.0,83.0,0,109.0,229.0,774.0,0,0,0,645.0,558.0,506.0,283.0,0,0,0,773.0,0,10.0,68.0,0,0,0,0
Phe|AF326777.3|gene18|Phenicol|Chloramphenicol_acetyltransferases|CATA,0,0,141.0,0,33.0,36.0,0,0,0,13.0,0,0,88.0,421.0,0,229.0,0,419.0,99.0,0,0,0,0,331.0,132.0,140.0,8.0,0,120.0,11.0,0
Elf|NC_002745.1123311|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,0,0,204.0,0,190.0,0,310.0,0,0,191.0,0,0,0,0,0,0,0,149.0,0,0,0,187.0,376.0,0,0,0,0,232.0,0,0,522.0
Mdr|oqxB_1_EU370913|Multi-drug_resistance|Multi-drug_efflux_pumps|OQXB,0,246.0,0,0,223.0,0,0,2199.0,70.0,0,0,43.0,0,0,0,0,2132.0,356.0,0,67.0,0,0,0,0,67.0,0,0,223.0,0,0,0
CARD|phgb|AL009126|1376516-1376855|ARO:3003063|ykkC|Multi-drug_resistance|Multi-drug_efflux_pumps|YKKC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,9.0,0,0,0,0,0,0
Flq|CP004022.1|gene2480|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204.0,0,0,0,0,0,0,0,0,0
gi|15149329|gb|AF397068.1|betalactams|Class_A_betalactamases|TEM,329.0,380.0,0,286.0,87.0,265.0,0,399.0,302.0,0,207.0,413.0,221.0,0,190.0,0,350.0,0,493.0,307.0,0,20.0,0,315.0,132.0,170.0,0,0,65.0,0,0
gi|56069564|gb|AY822595.1|betalactams|Class_A_betalactamases|CTX,863.0,424.0,0,1328.0,0,837.0,0,452.0,0,0,785.0,1336.0,823.0,239.0,0,0,448.0,0,623.0,0,0,0,0,0,861.0,1186.0,792.0,0,0,0,0
934|X51546.1|X51546|Aminoglycosides|Aminoglycoside_N-acetyltransferases|SAT,7.0,283.0,313.0,797.0,504.0,136.0,13.0,798.0,16.0,121.0,790.0,934.0,725.0,0,0,53.0,790.0,22.0,487.0,0,0,129.0,40.0,0,12.0,40.0,630.0,264.0,1005.0,252.0,1003.0
MLS|erm42_2_AB601890|MLS|23S_rRNA_methyltransferases|ERM42,0,0,189.0,0,0,0,81.0,0,0,0,0,0,0,0,0,0,0,0,0,59.0,10.0,0,698.0,110.0,0,0,0,212.0,0,0,0
Bla|PBP|Ecoli|CP002291|664439-666340|1902|betalactams|Penicillin_binding_protein|PBP2,3644.0,3260.0,3239.0,3673.0,3339.0,3615.0,2430.0,3670.0,3682.0,660.0,3705.0,3692.0,3642.0,3403.0,3645.0,1758.0,3659.0,3662.0,3611.0,3657.0,1214.0,3515.0,1465.0,3682.0,3609.0,3654.0,3693.0,3159.0,1225.0,517.0,178.0
16|AJ252200.1|AJ252200|Multi-drug_resistance|Multi-drug_efflux_pumps|sme,690.0,0,2388.0,0,1684.0,1064.0,3212.0,0,0,2222.0,0,0,831.0,384.0,0,245.0,0,1982.0,511.0,0,0,2011.0,2588.0,0,646.0,0,0,1887.0,0,670.0,0
AGly|aadA1_2_JN815078|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,79.0,316.0,1373.0,335.0,129.0,1200.0,357.0,129.0,70.0,957.0,1362.0,276.0,148.0,0,0,323.0,853.0,311.0,13.0,0,51.0,759.0,581.0,190.0,82.0,844.0,382.0,1203.0,54.0,1217.0
Tet|TetA-P|L20800|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETA,198.0,0,121.0,0,546.0,0,219.0,0,0,0,0,0,100.0,0,18.0,0,0,0,0,0,0,290.0,0,0,0,14.0,0,854.0,0,0,0
CARD|pvgb|CP001918|235165-236350|ARO:3001312|elfamycin|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0,0,0,0,0,0,0,0,0,0,0,0
Sul|AE016830.1|gene3181|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,0,0,0,0,0,0,27.0,66.0,384.0,0,0,0,0,0,0,0,70.0,26.0,0,85.0,0,0,0,0,0,16.0,0,0,0,0,1069.0
CARD|phgb|NC_012547|21239-21638|ARO:3001205|bleomycin|Glycopeptides|Bleomycin_resistance_protein|BRP,0,144.0,104.0,97.0,101.0,0,0,0,331.0,23.0,0,16.0,0,0,0,0,0,0,0,0,29.0,13.0,0,246.0,10.0,0,0,57.0,34.0,0,183.0
Tet|tetW_2_AY049983|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,926.0,1565.0,2282.0,0,1568.0,1967.0,2647.0,154.0,2328.0,2229.0,2273.0,0,1433.0,0,1645.0,1171.0,138.0,942.0,1320.0,2365.0,879.0,868.0,2829.0,1677.0,190.0,0,2170.0,2394.0,510.0,1039.0,335.0
AGly|AF205943.1|gene15|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,50.0,286.0,1157.0,348.0,105.0,1191.0,303.0,92.0,86.0,677.0,1189.0,279.0,70.0,149.0,0,272.0,826.0,299.0,10.0,0,41.0,945.0,597.0,310.0,47.0,593.0,335.0,1217.0,59.0,1227.0
Tet|Tet-32|DQ647324|181-2100|1920|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET32,0,0,897.0,0,1055.0,0,1121.0,113.0,509.0,707.0,0,0,95.0,224.0,528.0,0,100.0,0,107.0,0,0,324.0,710.0,0,0,0,0,518.0,0,0,0
Phe|floR_1_AF071555|Phenicol|Phenicol_efflux_pumps|FLOR,1046.0,774.0,771.0,1315.0,915.0,758.0,934.0,1072.0,1127.0,868.0,1039.0,1239.0,1011.0,1200.0,940.0,548.0,1059.0,1171.0,1099.0,1083.0,0,1034.0,852.0,1284.0,701.0,1061.0,920.0,634.0,1786.0,139.0,1765.0
CARD|phgb|GU371926|50304-51165|ARO:3000903|TEM-33|betalactams|Class_A_betalactamases|TEM,621.0,196.0,104.0,540.0,116.0,186.0,0,474.0,606.0,0,357.0,747.0,455.0,0,348.0,0,449.0,119.0,338.0,559.0,0,16.0,0,560.0,250.0,302.0,192.0,0,0,0,0
Flq|QnrB5|DQ303919|37-681|645|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,0,883.0,0,1051.0,0,533.0,0,1050.0,0,0,964.0,1052.0,440.0,0,0,43.0,1051.0,0,10.0,0,0,0,0,0,0,542.0,765.0,0,0,39.0,0
gi|18958443|gb|AF467947.1|betalactams|Class_A_betalactamases|SHV,0,0,0,0,0,0,0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bla|TEM-20|EU527189|4132-4992|861|betalactams|Class_A_betalactamases|TEM,122.0,0,0,91.0,0,275.0,0,0,130.0,0,59.0,152.0,0,0,41.0,0,0,0,413.0,0,0,0,0,118.0,0,77.0,0,0,0,0,0
Bla|TEM-84|AF417130|209-1069|861|betalactams|Class_A_betalactamases|TEM,0,0,0,0,0,0,0,0,61.0,0,0,0,0,0,0,0,39.0,0,0,0,0,0,0,0,0,0,0,0,36.0,0,0
CARD|phgb|AP009048|4153663-4154296|ARO:3000518|CRP|Multi-drug_resistance|MDR_regulator|CRP,1186.0,982.0,939.0,1182.0,986.0,1157.0,630.0,1181.0,1194.0,210.0,1205.0,1198.0,1159.0,1080.0,1173.0,462.0,1177.0,1190.0,1121.0,1176.0,369.0,1056.0,414.0,1199.0,1130.0,1162.0,1198.0,926.0,303.0,118.0,43.0
Sul|sul1_2_CP002151|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,255.0,177.0,1320.0,1508.0,1373.0,511.0,1515.0,1282.0,1652.0,323.0,1005.0,1529.0,432.0,976.0,1504.0,105.0,1209.0,1546.0,878.0,1537.0,595.0,1396.0,1283.0,1585.0,1357.0,1502.0,932.0,799.0,489.0,0,721.0
Tet|tetQ_1_L33696|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,2856.0,3650.0,3663.0,3269.0,3604.0,3531.0,3599.0,3630.0,3095.0,3692.0,3612.0,3488.0,3472.0,3621.0,3549.0,2721.0,3635.0,3532.0,3586.0,3587.0,2285.0,3469.0,3633.0,935.0,121.0,3427.0,3592.0,3695.0,1062.0,35.0,2269.0
Tet|tetA_2_X00006|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETA,992.0,733.0,898.0,1320.0,1057.0,732.0,739.0,1190.0,1211.0,67.0,955.0,1282.0,991.0,640.0,1110.0,0,1181.0,1158.0,1050.0,1096.0,223.0,924.0,173.0,1160.0,508.0,1358.0,867.0,466.0,0,256.0,180.0
MLS|msrA_1_X52085|MLS|Macrolide_resistance_efflux_pumps|MSRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541.0
gi|757399511|gb|KP050488.1|betalactams|Class_A_betalactamases|SHV,0,0,0,0,0,0,0,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gi|169883503|gb|EU496816.1|betalactams|Class_C_betalactamases|CMY,910.0,0,0,80.0,0,233.0,0,530.0,54.0,0,87.0,143.0,693.0,0,0,0,515.0,423.0,440.0,203.0,0,0,0,613.0,0,0,56.0,0,0,0,0
CARD|phgb|AY055428|20268-21084|ARO:3000412|sul2|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,1268.0,1064.0,1104.0,1523.0,1353.0,465.0,1240.0,1476.0,1469.0,673.0,1090.0,1488.0,1165.0,1010.0,1160.0,552.0,1446.0,1411.0,811.0,1221.0,31.0,1342.0,1326.0,1303.0,831.0,1295.0,1083.0,1301.0,1577.0,140.0,1570.0
Phe|AF231986|Phenicol|Phenicol_efflux_pumps|FLOR,2064.0,1250.0,2141.0,1951.0,1897.0,1559.0,2257.0,1746.0,1820.0,1882.0,1697.0,1975.0,2077.0,2191.0,1622.0,1310.0,1708.0,1939.0,1837.0,2010.0,184.0,1679.0,2186.0,2315.0,1117.0,1644.0,1592.0,2018.0,2281.0,215.0,2276.0
1923|HQ185697.1|HQ185697|betalactams|Class_C_betalactamases|CMY,758.0,0,0,69.0,0,193.0,0,447.0,45.0,0,40.0,117.0,449.0,0,0,0,388.0,328.0,281.0,175.0,0,0,0,467.0,0,0,37.0,0,0,0,0
gi|15858853|gb|AY029068.1|betalactams|Class_A_betalactamases|CTX,0,0,0,328.0,0,0,0,0,0,0,0,330.0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,245.0,0,0,0,0,0
Bla|TEM-15|AM849805|263-1123|861|betalactams|Class_A_betalactamases|TEM,305.0,0,48.0,284.0,35.0,63.0,0,245.0,299.0,0,159.0,395.0,215.0,0,178.0,0,222.0,23.0,154.0,280.0,0,0,0,313.0,133.0,159.0,81.0,0,0,0,0
1650|U36911.1|SAU36911|betalactams|Class_A_betalactamases|TEM,109.0,107.0,0,102.0,0,85.0,0,86.0,0,0,69.0,117.0,80.0,0,0,0,83.0,0,203.0,87.0,0,0,0,0,0,63.0,0,12.0,18.0,0,0
Sul|SulII|EU360945|1617-2432|816|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,1025.0,849.0,993.0,1363.0,1210.0,251.0,1160.0,1303.0,1254.0,515.0,884.0,1295.0,975.0,816.0,896.0,349.0,1282.0,1265.0,567.0,1029.0,24.0,1186.0,1266.0,1084.0,648.0,1119.0,923.0,1191.0,1489.0,58.0,1464.0
Bla|TEM-70|AF188199|215-1075|861|betalactams|Class_A_betalactamases|TEM,490.0,112.0,85.0,425.0,50.0,123.0,18.0,353.0,467.0,0,294.0,689.0,357.0,0,254.0,0,311.0,69.0,246.0,415.0,0,10.0,0,461.0,195.0,246.0,159.0,0,0,0,0
Bla|blaL1_3_EF126059|betalactams|Class_B_betalactamases|L1,0,0,77.0,0,44.0,44.0,149.0,0,0,70.0,0,0,0,0,0,0,0,57.0,0,0,0,72.0,98.0,0,41.0,0,0,73.0,0,28.0,0
Sul|sul1_20_JF262165|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,71.0,71.0,1088.0,984.0,1018.0,144.0,1030.0,684.0,1193.0,185.0,515.0,1003.0,139.0,449.0,971.0,59.0,654.0,1075.0,397.0,1011.0,199.0,842.0,863.0,1081.0,766.0,940.0,376.0,753.0,123.0,0,279.0
Sul|sul2_19_AJ319822|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,856.0,720.0,832.0,1104.0,987.0,203.0,933.0,1042.0,1044.0,445.0,666.0,1055.0,764.0,714.0,763.0,304.0,1018.0,1020.0,437.0,846.0,0,927.0,1049.0,890.0,520.0,913.0,700.0,959.0,1309.0,52.0,1287.0
CARD|phgb|AF326777|23980-24640|ARO:3002670|cat|Phenicol|Chloramphenicol_acetyltransferases|CAT,0,0,127.0,0,34.0,32.0,0,0,0,0,0,0,62.0,381.0,0,200.0,0,378.0,82.0,0,0,0,0,298.0,126.0,127.0,0,0,115.0,0,0
Bla|CTX-M-49AY847145|82-957|876|betalactams|Class_A_betalactamases|CTX,338.0,51.0,0,891.0,0,263.0,0,60.0,0,0,256.0,821.0,312.0,0,0,0,68.0,0,124.0,0,0,0,0,0,324.0,728.0,227.0,0,0,0,0
MLS|ermB_1_JN899585|MLS|23S_rRNA_methyltransferases|ERMB,12.0,0,958.0,55.0,517.0,135.0,1055.0,12.0,812.0,665.0,60.0,173.0,28.0,347.0,406.0,69.0,12.0,101.0,325.0,1011.0,367.0,163.0,823.0,766.0,24.0,76.0,30.0,766.0,259.0,0,624.0
MLS|ermB_2_K00551|MLS|23S_rRNA_methyltransferases|ERMB,0,0,352.0,0,68.0,0,305.0,0,0,171.0,0,0,0,91.0,0,0,0,0,158.0,231.0,0,0,196.0,0,0,0,0,114.0,0,0,85.0
AGly|AadA16|EU675686|3197-4042|846|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0,0,0,0,0,39.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flq|QnrS3|EU077611|1-657|657|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRS,0,84.0,0,196.0,0,0,0,523.0,0,0,0,160.0,0,0,0,0,611.0,0,0,0,0,0,0,0,0,30.0,0,0,0,0,0
CARD|phgb|GQ343019|132-1023|ARO:3002999|CblA-1|betalactams|Class_A_betalactamases|CBLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gi|83031782|gb|DQ286729.1|betalactams|Class_A_betalactamases|TEM,541.0,112.0,86.0,481.0,55.0,161.0,0,368.0,538.0,0,333.0,656.0,378.0,0,311.0,0,394.0,87.0,299.0,430.0,0,16.0,0,494.0,183.0,251.0,140.0,0,0,0,0
AGly|AadA11|AJ567827|1-792|792|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0,0,0,0,0,0,39.0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,11.0,0,0,0,0,0,0,0
MLS|MsrA|AY591760|274-1740|1467|MLS|Macrolide_resistance_efflux_pumps|MSRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,927.0
Tet|tetB_4_AF326777|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETB,2158.0,324.0,1519.0,1459.0,1006.0,893.0,191.0,1869.0,2112.0,1763.0,1118.0,1602.0,2080.0,2112.0,2084.0,1179.0,1870.0,2206.0,1843.0,2147.0,0,905.0,279.0,2208.0,280.0,326.0,844.0,313.0,260.0,10.0,0
MLS|LsaA|AY225127|41-1537|1497|MLS|Streptogramin_resistance_ATP-binding_cassette_ABC_efflux_pumps|LSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,942.0
Bla|OXA-64|AY750907|1-825|825|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1081|AF294653.1|AF294653|Phenicol|Phenicol_efflux_pumps|CML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.0,0,0
1374|DQ077487.1|DQ077487|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TET33,0,0,987.0,0,672.0,0,1193.0,0,963.0,160.0,54.0,0,40.0,60.0,0,47.0,0,0,0,0,89.0,772.0,872.0,900.0,24.0,0,0,572.0,104.0,0,208.0
ACou|NC_002951.3236245|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.0,0,0,0,0,0,0,0,0
MLS|ErmD|M29832|430-1293|864|MLS|23S_rRNA_methyltransferases|ERMD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,0,0,0,0,0,0,0,0,0,0,0,0
Bla|SHV-27|FJ685656|1-861|861|betalactams|Class_A_betalactamases|SHV,0,0,0,0,0,0,0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bla|TEM-106|AY101578|215-1075|861|betalactams|Class_A_betalactamases|TEM,252.0,85.0,0,249.0,27.0,54.0,0,175.0,245.0,0,131.0,355.0,188.0,0,153.0,0,147.0,49.0,121.0,206.0,0,0,0,229.0,70.0,143.0,53.0,0,0,0,0
Phe|CatA1|V00622|244-903|660|Phenicol|Chloramphenicol_acetyltransferases|CATA,0,0,347.0,0,76.0,120.0,0,0,0,0,0,0,217.0,640.0,0,412.0,0,664.0,264.0,0,0,0,22.0,568.0,348.0,220.0,0,0,306.0,42.0,0
